id,post_date,content,author,view_count,version
1,2023-04-12,First post,Mateusz,100,0
2,2023-04-11,Second post,Marek,2222,0
3,2023-04-14,Third post,Dorota,22,0
4,2023-03-13,Forth post,Michal,234,0
5,2023-04-14,Fifth post,Andrzej,32623,0
6,2023-03-13,Sixth post,Krzysztof,12566,0
7,2023-03-13,Seventh post,Kasia,112,0
8,2023-04-14,Eighth post,Robert,234611,0
9,2023-04-11,Ninth post,Maciej,2436,0
10,2023-04-13,Tenth post,Ania,663,0
11,2023-04-13,Eleventh post,Gabrysia,52346,0
12,2023-04-11,Twelfth post,Marek,553,0
13,2022-03-11,Thirteenth post,Olek,88645,0
14,2022-04-11,Fourteenth post,Ola,44,0
